IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,83.95,,,,,,83.95,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SWE,Sweden,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,83.97,,,,,,83.97,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.04,,,,,,84.04,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CAN,Canada,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.05,,,,,,84.05,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.06,,,,,,84.06,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NOR,Norway,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.13,,,,,,84.13,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,LUX,Luxembourg,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.2,,,,,,84.2,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,84.26,,,,,,84.26,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ISR,Israel,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.36,,,,,,84.36,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,PRT,Portugal,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.4,,,,,,84.4,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.77,,,,,,84.77,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,AUS,Australia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.84,,,,,,84.84,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ITA,Italy,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,84.9,,,,,,84.9,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,85.08,,,,,,85.08,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FRA,France,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,85.09,,,,,,85.09,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,85.12,,,,,,85.12,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,85.45,,,,,,85.45,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ESP,Spain,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,85.68,,,,,,85.68,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,86.09,,,,,,86.09,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,86.94,,,,,,86.94,,,EN,2020-12-04T05:00:00.000Z
