IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,PRY,Paraguay,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,74.99,,,,,,74.99,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ECU,Ecuador,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.02,,,,,,75.02,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,MEX,Mexico,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.13,,,,,,75.13,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.2,,,,,,75.2,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ARG,Argentina,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.44,,,,,,75.44,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SVK,Slovakia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.47,,,,,,75.47,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.53,,,,,,75.53,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,JAM,Jamaica,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.77,,,,,,75.77,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,DZA,Algeria,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.85,,,,,,75.85,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.86,,,,,,75.86,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,EST,Estonia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.87,,,,,,75.87,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BRB,Barbados,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.88,,,,,,75.88,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,75.95,,,,,,75.95,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.04,,,,,,76.04,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.05,,,,,,76.05,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.19,,,,,,76.19,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ALB,Albania,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.25,,,,,,76.25,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,POL,Poland,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.25,,,,,,76.25,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.25,,,,,,76.25,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,URY,Uruguay,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.36,,,,,,76.36,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.59,,,,,,76.59,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,HRV,Croatia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.72,,,,,,76.72,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,TUR,Turkey,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.89,,,,,,76.89,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,76.99,,,,,,76.99,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,COL,Colombia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,77.09,,,,,,77.09,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,PER,Peru,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,77.28,,,,,,77.28,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,PAN,Panama,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,77.53,,,,,,77.53,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CZE,Czechia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,77.56,,,,,,77.56,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CUB,Cuba,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,77.65,,,,,,77.65,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CHL,Chile,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,78.46,,,,,,78.46,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,USA,United States of America,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,78.56,,,,,,78.56,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DNK,Denmark,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.17,,,,,,79.17,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SVN,Slovenia,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.55,,,,,,79.55,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CRI,Costa Rica,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.56,,,,,,79.56,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,PRT,Portugal,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.73,,,,,,79.73,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.83,,,,,,79.83,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,BEL,Belgium,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.85,,,,,,79.85,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FIN,Finland,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,79.88,,,,,,79.88,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GRC,Greece,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.1,,,,,,80.1,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DEU,Germany,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.17,,,,,,80.17,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.25,,,,,,80.25,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,AUT,Austria,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.39,,,,,,80.39,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,IRL,Ireland,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.41,,,,,,80.41,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,MLT,Malta,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.45,,,,,,80.45,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.58,,,,,,80.58,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NLD,Netherlands,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.68,,,,,,80.68,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NOR,Norway,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.87,,,,,,80.87,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,LUX,Luxembourg,Year,2010,false,Sex,Both sexes,BTSX,,,,,,,,,,80.94,,,,,,80.94,,,EN,2020-12-04T05:00:00.000Z
